,01,02,04,05,06,07,09,10,12,14,15,17,20,23,25,26,45,Inflection,Onset Length,Onset Unity,Offset Length,Offset Unity,SumAmp,TrueInflection,RelativeTime,RelativeSec,Action Num,HandNum,TimeStamp,Small Blind,Big Blind,StartHeroTurn,Game Phase,Hero Chips,Villain Chips,Pot Chips,Hole Cards,Board Cards,Log Line,Win%,RelativeTime,RelativeSec,M Ratio,EV,Pot Odds,Pot Odds CV,Implied Odds,Fold %,Fold Equity,Semi-Bluff Fold %,Time to Act,Relative Bet,Call Stakes,Win/Lose Events,Win/Loss,New Card Events,Calling Events,Betting Events,Bet/Bluff,C/R/F
1,0.3960000038146973,0.0,1.9379999764263631,0.18000000417232515,0.4240000039339066,1.435999974608421,0.02199999094009397,0.0,0.16399999856948858,0.5399999976158143,0.0,0.0,0.0,0.0,0.6299999963492157,0.8319999955594541,1.4459999680519104,170.29444444444445,5.666666666666668,5.696969696969696,10.166666666666666,62.6969696969697,8.007999910041717,1900-01-01 13:10:46.294444,0 days 00:00:00.374444,0.374444,0,1,"13:10:45,920",10,20,True,PREFLOP,4990,4980,30,"[?s,?h]",,"PREFLOP
",?,0 days 00:00:00.000000000,0.0,?,?,?,?,?,?,?,?,?,?,?,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2,0.0,0.500000001490116,0.2480000026524067,0.0,0.2559999912977219,1.162000024318695,0.321999990940094,0.9339999973773956,0.06599999368190762,0.9719999909400941,0.0,0.0,0.0,0.15999999716877938,0.24799998700618744,0.0,1.6379999995231629,171.00606060606063,5.636363636363638,6.654545454545453,11.0,83.0,6.505999976396596,1900-01-01 13:10:47.006061,0 days 00:00:01.086061,1.086061,0,1,"13:10:45,920",10,20,True,PREFLOP,4990,4980,30,"[?s,?h]",,"PREFLOP
",?,0 days 00:00:00.000000000,0.0,?,?,?,?,?,?,?,?,?,?,?,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
3,0.0,1.5399999991059303,0.0,0.0,0.0,0.0,0.5679999858140945,0.2039999984204769,0.0,0.0,0.0,0.0,0.0,0.5819999873638153,0.6879999846220016,0.0,0.0,171.48666666666662,7.0,20.5,19.6,85.30000000000003,3.581999955326296,1900-01-01 13:10:47.486667,0 days 00:00:01.566667,1.566667,0,1,"13:10:45,920",10,20,True,PREFLOP,4990,4980,30,"[?s,?h]",,"PREFLOP
",?,0 days 00:00:00.000000000,0.0,?,?,?,?,?,?,?,?,?,?,?,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
4,0.0,0.0,0.0,0.0,0.0,0.1940000057220459,0.0,0.0,0.26799998879432685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.64999999999995,1.5,0.5,20.5,544.5,0.4619999945163045,1900-01-01 13:10:47.650000,0 days 00:00:01.730000,1.73,0,1,"13:10:45,920",10,20,True,PREFLOP,4990,4980,30,"[?s,?h]",,"PREFLOP
",?,0 days 00:00:00.000000000,0.0,?,?,?,?,?,?,?,?,?,?,?,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
5,0.0,0.0,0.0,0.0,0.05000000298023227,0.6900000154972077,0.0,0.23999999687075615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.01111111111112,3.6666666666666665,0.33333333333333337,12.333333333333336,57.33333333333333,0.9800000153481959,1900-01-01 13:10:48.011111,0 days 00:00:02.091111,2.091111,0,1,"13:10:45,920",10,20,True,PREFLOP,4990,4980,30,"[?s,?h]",,"PREFLOP
",?,0 days 00:00:00.000000000,0.0,?,?,?,?,?,?,?,?,?,?,?,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
6,0.0,0.0,0.16400000415742394,0.0,0.14800000488758092,0.30400000140070915,0.496000012755394,0.0,0.0,0.39800000190734863,0.0,0.0,0.0,0.18200000040233136,0.0,0.32800000607967383,0.3679999828338624,172.48333333333332,3.8,3.0666666666666678,13.3,61.344444444444456,2.3880000144243354,1900-01-01 13:10:48.483333,0 days 00:00:02.563333,2.563333,0,1,"13:10:45,920",10,20,True,PREFLOP,4990,4980,30,"[?s,?h]",,"PREFLOP
",?,0 days 00:00:00.000000000,0.0,?,?,?,?,?,?,?,?,?,?,?,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21599999070167544,0.14599999189376833,0.0,0.0,0.0,0.0,0.0,0.0,0.5299999922513963,0.0,173.04444444444442,6.0,7.0,12.666666666666664,30.333333333333336,0.8919999748468399,1900-01-01 13:10:49.044444,0 days 00:00:03.124444,3.124444,0,1,"13:10:45,920",10,20,True,PREFLOP,4990,4980,30,"[?s,?h]",,"PREFLOP
",?,0 days 00:00:00.000000000,0.0,?,?,?,?,?,?,?,?,?,?,?,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
8,0.0,0.0,0.0,0.0,0.0,0.0,0.1819999814033508,0.0,0.0,0.059999990463256665,0.0,0.5019999995827675,0.0,0.16399999260902404,0.2519999980926514,0.0,0.0,173.37333333333336,3.6,2.8,12.0,29.0,1.159999962151062,1900-01-01 13:10:49.373333,0 days 00:00:03.453333,3.4533329999999998,0,1,"13:10:45,920",10,20,True,PREFLOP,4990,4980,30,"[?s,?h]",,"PREFLOP
",?,0 days 00:00:00.000000000,0.0,?,?,?,?,?,?,?,?,?,?,?,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
9,0.0,0.0,0.0,0.0,0.0,0.0,0.03400000333786018,0.0,0.0,0.16800000667572013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.78333333333333,2.0,2.0,13.5,84.5,0.2020000100136201,1900-01-01 13:10:49.783333,0 days 00:00:03.863333,3.863333,0,1,"13:10:45,920",10,20,True,PREFLOP,4990,4980,30,"[?s,?h]",,"PREFLOP
",?,0 days 00:00:00.000000000,0.0,?,?,?,?,?,?,?,?,?,?,?,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
10,0.0,0.0,0.0,0.0,0.0,0.0,0.22400000691413885,0.2599999785423277,0.0,0.0,0.0,0.0,0.0,0.4119999945163727,0.0,0.0,0.0,174.15555555555557,3.6666666666666665,4.333333333333334,17.666666666666668,226.3333333333333,0.8959999799727996,1900-01-01 13:10:50.155556,0 days 00:00:04.235556,4.235556,0,1,"13:10:45,920",10,20,True,PREFLOP,4990,4980,30,"[?s,?h]",,"PREFLOP
",?,0 days 00:00:00.000000000,0.0,?,?,?,?,?,?,?,?,?,?,?,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
